Film,Roger_Ebert,Jeffrey_Lyons,Michael_Medved,Rex_Reed,Gene_Shalit,Joel_Siegel,Gene_Siskel,binaryClass
101_DALMATIONS,,Pro,Mixed,Pro,,Pro,,N
12_MONKEYS,Pro,Con,Con,Con,,Pro,Mixed,P
2_DAYS_IN_THE_VALLEY,,Pro,Con,Con,,,,N
A_FAMILY_THING,Pro,Mixed,Mixed,Pro,Pro,,Pro,N
A_GOOFY_MOVIE,Pro,,,,,,Pro,P
A_MIDWINTERS_TALE,Pro,Pro,,,,,Pro,N
A_MONTH_BY_THE_LAKE,Pro,Pro,,Pro,,,,N
A_REASON_TO_BELIEVE,,,,Pro,,,,P
A_THIN_LINE_BETWEEN_LOVE&HATE,Mixed,Con,,Con,,,,P
A_TIME_TO_KILL,,Pro,Mixed,Mixed,,,Mixed,N
A_VERY_BRADY_SEQUEL,Mixed,,Con,,,,Pro,N
ABSOLUTE_POWER,Pro,Pro,Con,Con,Mixed,Pro,Mixed,N
ACE_VENTURA:WHEN_NATURE_CALLS,Con,,,,,Con,Con,P
ALASKA,Pro,Pro,Mixed,Pro,,Con,Con,P
ALBINO_ALLIGATOR,Mixed,Con,Pro,,,,,N
AMERICAN_BUFFALO,Mixed,,,,,Pro,,N
ANGEL_BABY,,Mixed,,Pro,,,,P
ANGELS_&_INSECTS,Pro,Mixed,Pro,Pro,,,,N
ANGUS,Pro,,,,,,Mixed,N
ANNE_FRANK_REMEMBERED,,Pro,,,,,,N
ASSASSINS,Con,Con,Pro,,,Mixed,Con,P
AUGUST,,Mixed,,,,,,N
BAD_BOYS,Con,,,,,,Con,N
BALTO,Pro,Pro,Pro,,,Mixed,Con,P
BARB_WIRE,,Con,,,,,,P
BASQUIAT,,Pro,,Con,,Pro,,N
BEAUTIFUL_GIRLS,Pro,Mixed,Pro,Con,,,,N
BEAUTIFUL_THING,,Mixed,,Pro,,,,N
BEAVIS&BUTTHEAD_DO_AMERICA,,,,,,Con,,N
BED_OF_ROSES,Mixed,Con,Con,Pro,,,,P
BEFORE_AND_AFTER,Mixed,Mixed,,Con,Con,Con,Con,P
BIG_NIGHT,,,Pro,Pro,,Pro,,N
BLACK_SHEEP,,Con,,,,Con,,P
BLOOD_AND_WINE,,Pro,Con,Con,,Pro,,N
BLUE_IN_THE_FACE,Mixed,Mixed,,Con,,Pro,,P
BOGUS,Pro,Mixed,,Con,,Con,Mixed,P
BOOTY_CALL,,Con,,,,,,P
BOTTLE_ROCKET,,,,,Pro,,,N
BOUND,,Con,,,,,,N
BOYS,,Con,,Con,,,,P
BOYS_LIFE_2,,,,,,,,N
BREAKING_THE_WAVES,,,,Pro,,Pro,,P
BREATHING_ROOM,,Mixed,,Con,,,,P
BROKEN_ARROW,Mixed,Mixed,Mixed,Mixed,Mixed,,Mixed,N
BULLETPROOF,,Con,,Con,,Pro,,P
BURNT_BY_THE_SUN,Con,,,Pro,,,Mixed,N
BUTTERFLY_KISS,Pro,,,,,,,N
CANADIAN_BACON,,,Con,Con,,,,P
CARRIED_AWAY,,,Con,,,,,N
CARRINGTON,,Con,,Pro,Pro,Con,,N
CASINO,Pro,Mixed,Con,Con,Pro,Pro,,N
CAUGHT,,Pro,,Pro,,,,N
CELESTIAL_CLOCKWORK,,Pro,,,,,,N
CELTIC_PRIDE,Mixed,,Con,,,,Mixed,P
CHAIN_REACTION,Mixed,Con,Con,,,,Mixed,P
CITIZEN_RUTH,,Pro,Con,,,,,N
CITY_HALL,Mixed,Mixed,Con,Mixed,Pro,,Mixed,N
CITY_OF_INDUSTRY,Con,Con,,,,Con,Mixed,N
CITY_OF_LOST_CHILDREN,Pro,Pro,,,,,,N
CLOCKERS,Pro,,Pro,Con,,Pro,Pro,N
COLD_COMFORT_FARM,Pro,Pro,,Pro,Pro,Pro,Pro,N
COPYCAT,Pro,Pro,,Pro,,Pro,Con,P
COURAGE_UNDER_FIRE,,Pro,Mixed,Pro,Pro,Pro,,N
CRASH,,Con,,Con,,Con,Mixed,N
CRY_THE_BELOVED_COUNTRY,,,Pro,Pro,,,,N
CUTTHROAT_ISLAND,Pro,Con,Mixed,Con,,Con,Con,P
DANGEROUS_GROUND,,Con,,Con,,,,P
DANTES_PEAK,Mixed,Pro,Pro,,Con,Con,Mixed,P
DAYLIGHT,Mixed,,Mixed,,,Mixed,Mixed,P
DEAD_MAN,Con,,,,,,,P
DEAD_MAN_WALKING,Pro,Pro,,Pro,,Pro,Pro,P
DEAD_PRESIDENTS,Mixed,Mixed,,Con,,Con,Con,N
DEAR_GOD,Con,,Con,Mixed,,,Con,P
DEVIL_IN_A_BLUE_DRESS,Pro,,Pro,Pro,,Pro,Pro,P
DIABOLIQUE,Mixed,Con,,,,Con,Pro,P
DON_JUAN_DEMARCO,Con,Pro,,,Mixed,Pro,Pro,N
DONNIE_BRASCO,Pro,Pro,,Pro,Pro,Pro,Pro,N
DOWN_PERISCOPE,Pro,,,,,,Con,P
DRACULA:DEAD_AND_LOVING_IT,Con,Mixed,Con,,,Pro,Con,P
DRAGONHEART,Pro,Pro,Mixed,Mixed,Pro,Con,,P
DRUNKS,,,Con,,,,,P
DUNSTON_CHECKS_IN,,Pro,Pro,Con,,,,N
ED,,Con,Con,,,,,P
EDDIE,Con,,,,,,Pro,P
EDS_NEXT_MOVE,,Mixed,,,,,,N
EMMA,Pro,Pro,Pro,,,Pro,Pro,N
ERASER,Pro,Con,,Con,Pro,Pro,Pro,N
ESCAPE_FROM_L.A.,Pro,Pro,Con,,,Con,Mixed,N
EVERYONE_SAYS_I_LOVE_YOU,Pro,,Pro,Con,,Pro,Mixed,N
EVITA,,Pro,Mixed,Pro,Con,Pro,,N
EXECUTIVE_DECISION,Pro,,Mixed,,,Mixed,Pro,N
EXTREME_MEASURES,,Pro,,Mixed,,Con,,P
EYE_FOR_AN_EYE,Con,Pro,Mixed,Mixed,,,,P
FAIR_GAME,Con,,,,,,Con,P
FAITHFUL,Mixed,Mixed,,Con,,,,P
FARGO,Pro,Pro,,Pro,Pro,Pro,,N
FATHER_OF_THE_BRIDE_PART_2,Mixed,Mixed,Mixed,,,,Pro,N
FEAR,,Con,,Mixed,,Con,,P
FEAST_OF_JULY,Con,Pro,Pro,,,,,P
FEELING_MINNESOTA,Pro,,Con,Con,,,,P
FIERCE_CREATURES,Mixed,Pro,Pro,Mixed,,Con,Pro,N
FLED,Mixed,Con,,,,Mixed,Con,P
FLIPPER,,Pro,Pro,Con,,,,N
FLIPPING,,,,,,,,P
FLIRTING_WITH_DISASTER,Pro,Pro,,,,,Pro,N
FLY_AWAY_HOME,Pro,Pro,Mixed,Pro,,Pro,Pro,N
FOLLOW_ME_HOME,,Pro,,,,,,P
FOOLS_RUSH_IN,,Pro,Pro,Pro,,,,P
FOXFIRE,,Con,,,,,,P
FRANKIE_STARLIGHT,Pro,Pro,,Pro,,,,P
FRENCH_TWIST,Con,Mixed,,,,,Con,N
FROM_DUSK_TIL_DAWN,Pro,,,Con,,,,N
FROM_THE_JOURNALS_OF_JEAN_S,,,,Pro,,,,N
GENTLEMEN_DONT_EAT_BLONDS,,Con,Con,Pro,,,,N
GEORGIA,,,,Pro,,,,N
GET_ON_THE_BUS,,Pro,,,,,Pro,N
GET_SHORTY,Pro,Pro,Pro,Pro,,Pro,Pro,N
GETTING_AWAY_WITH_MURDER,Mixed,,,,,,Mixed,P
GHOST_IN_THE_SHELL,Pro,,,,,,Pro,P
GHOSTS_OF_MISSISSIPPI,,Pro,Pro,Mixed,,Pro,,P
GIRL_6,,,,,,Pro,,P
GIRLS_TOWN,Pro,,,,,,Pro,P
GOLD_DIGGERS,Mixed,Mixed,Con,Con,,,Con,P
GOLDENEYE,,Pro,,Con,,Con,,N
GRACE_OF_MY_HEART,Mixed,Pro,,,,Mixed,,N
GRAYS_ANATOMY,,Pro,,Con,,,,N
GRUMPIER_OLD_MEN,Con,Pro,,Pro,,Pro,Mixed,P
HACKERS,Pro,,,,,,,P
HAMLET,Pro,Pro,,,,,Pro,N
HAPPY_GILMORE,Con,Con,,,,,Mixed,P
HARD_EIGHT,Pro,Pro,Mixed,,,,Pro,N
HARRIET_THE_SPY,,Con,Mixed,,,Pro,Mixed,N
HATE,Pro,,,,,,,P
HEAT,Pro,,,Mixed,Mixed,Pro,Pro,N
HEAVENS_PRISONERS,,Pro,,Mixed,,,,P
HEAVY,,Con,,,,,,N
HIGH_SCHOOL_HIGH,,Con,,Con,,Mixed,,P
HOMAGE,,Pro,,Pro,,,,P
HOME_FOR_THE_HOLIDAYS,Pro,Con,Pro,Pro,,Con,Pro,N
HOMEWARD_BOUND_2,Mixed,Pro,Mixed,,,,Mixed,P
HORSEMAN_ON_THE_ROOF,Pro,Mixed,Pro,Con,,,Pro,N
HOTEL_DE_LOVE,Mixed,Pro,,,,,Mixed,N
HOUSE_ARREST,,Con,Mixed,Con,,Con,Con,P
HOW_TO_MAKE_AN_AMERICAN_QUILT,Con,Pro,Con,Pro,,Mixed,Mixed,P
HUNCHBACK_OF_NOTRE_DAME,Pro,Pro,Con,,Pro,Pro,Pro,N
I_SHOT_ANDY_WARHOL,,Pro,,,,,,N
IF_LUCY_FELL,Con,Con,Con,Con,,,Con,P
IM_NOT_RAPPAPORT,Mixed,Pro,Mixed,,Pro,,Con,P
IN_LOVE_AND_WAR,Mixed,Mixed,Pro,Mixed,,Con,Mixed,P
INDEPENDENCE_DAY,,Mixed,Mixed,Pro,Mixed,Pro,Mixed,N
INFINITY,,Pro,Con,,,,,N
IT_TAKES_TWO,,Pro,Pro,,,Con,,P
ITS_MY_PARTY,Pro,Con,,,,,Pro,P
JACK,Con,Con,Con,Con,Con,Pro,Con,P
JACK_&_SARAH,,Pro,Mixed,,,,,P
JADE,Con,,Con,Mixed,,Con,,P
JAMES_&_THE_GIANT_PEACH,Pro,Pro,,Pro,Pro,Pro,Pro,N
JANE_EYRE,Pro,Pro,,Pro,,Mixed,Pro,N
JERRY_MAGUIRE,Pro,Pro,,Pro,Mixed,Pro,Pro,N
JINGLE_ALL_THE_WAY,,,,,,Pro,,P
JOURNEY_OF_AUGUST_KING,,,,Con,,,,N
JUDE,Pro,Pro,,Pro,,,Pro,N
JUMANJI,Con,Pro,Pro,,Mixed,Con,Con,P
JUNGLE_2_JUNGLE,Con,Pro,Con,,,Con,Con,P
JURY_DUTY,Con,,,,,,,P
KAMA_SUTRA:_A_TALE_OF_LOVE,Con,,Mixed,,,,Mixed,N
KANSAS_CITY,Pro,Mixed,,Con,,Con,Mixed,N
KAZAAM,,,,,,,Con,P
KICKING_AND_SCREAMING,Pro,Pro,,,,,,N
KIDS_IN_THE_HALL:BRAIN_CANDY,Con,Con,,,,,Pro,N
KINGPIN,Pro,,,Con,,,Pro,P
KISS_OF_DEATH,Con,Pro,,Mixed,,,Pro,N
LA_CEREMONIE,Pro,,Pro,,,,,N
LAND_AND_FREEDOM,,,,,,,Mixed,P
LARGER_THAN_LIFE,Con,Pro,,Con,,Con,Pro,P
LAST_DANCE,,Pro,Con,Mixed,Pro,,,P
LAST_MAN_STANDING,Con,,,,,Con,Mixed,P
LEAVING_LAS_VEGAS,Pro,Con,Con,Pro,Mixed,Pro,Pro,N
LES_MISERABLES,Pro,,Mixed,,,,,N
LIAR_LIAR,,Pro,Pro,,,Pro,Pro,N
LITTLE_INDIAN_BIG_CITY,Con,Con,,,,,Con,P
LOADED,,Con,Con,,,,,P
LONE_STAR,,Pro,,Con,,Pro,,N
LOOKING_FOR_RICHARD,,Pro,,Con,,,,N
LOSING_CHASE,,,Pro,,,,,N
LOST_HIGHWAY,Mixed,Con,,Con,,,,N
LOVE_JONES,Pro,Pro,,,Pro,Mixed,Pro,N
MA_SAISON_PREFEREE,,Pro,,,,,,N
MAD_DOG_TIME,,Con,,,,,,N
MAGIC_HUNTER,,Con,Mixed,,,,,P
MALLRATS,Con,,Con,,,,Con,P
MANDELA:_SON_OF_AFRICA...,,Pro,,,,,Pro,N
MANNY_&_LO,,Con,,,,,,N
MARGARETS_MUSEUM,,Pro,,,,,,P
MARS_ATTACKS!,Mixed,Mixed,Con,Con,,Pro,Pro,N
MARVINS_ROOM,Pro,,Pro,Pro,,Pro,,N
MARY_REILLY,Pro,Con,Con,Con,,Con,Pro,P
MATILDA,Pro,Con,,,,Pro,,P
MAYBE...MAYBE_NOT,Pro,,,Mixed,,,,N
METRO,Pro,Con,Con,,,,Pro,P
MICHAEL,,Con,Mixed,Con,,,,N
MICHAEL_COLLINS,,Pro,,Mixed,,Pro,,N
MIGHTY_APHRODITE,Pro,Pro,Mixed,,,Pro,Mixed,N
MISSION_IMPOSSIBLE,,,Con,Con,,,Pro,N
MOLL_FLANDERS,Pro,Pro,Con,Pro,Mixed,Mixed,Mixed,N
MONEY_TRAIN,Con,,,,,Pro,,N
MOONLIGHT_&_VALENTINO,,,Mixed,Pro,,Pro,,P
MOTHER,Pro,Pro,,Pro,,,,N
MOTHER_NIGHT,,Pro,Mixed,Pro,,,,N
MR._HOLLANDS_OPUS,Pro,,Pro,Pro,,Pro,Pro,P
MR._WRONG,,Con,,,,,,P
MRS._WINTERBOURNE,Mixed,Pro,Con,,Con,,Mixed,P
MULHOLLAND_FALLS,Pro,Pro,Mixed,Pro,Con,Con,Mixed,P
MULTIPLICITY,,Pro,Con,,,Mixed,Mixed,N
MUPPET_TREASURE_ISLAND,Mixed,Pro,Pro,,,,Mixed,P
MUTE_WITNESS,Pro,,Pro,Pro,,,Con,N
MY_FELLOW_AMERICANS,,Pro,Mixed,,,Pro,,N
MYSTERY_SCIENCE_THEATER_3000,Pro,Pro,,,,,Pro,N
NEW_JERSEY_DRIVE,Pro,,,,,,,N
NICK_OF_TIME,Mixed,Con,Con,,,Mixed,,P
NICO-ICON,Pro,,,,,,Pro,N
NIXON,Pro,Pro,Con,Mixed,,Pro,Pro,N
NOW_AND_THEN,Con,Pro,,,,Con,Con,P
ONCE_UPON_A_TIME_...,Pro,,,Mixed,,,,P
ONE_FINE_DAY,,Con,Con,Con,Con,Con,,N
OPEN_SEASON,,Pro,Mixed,,,,,N
OTHELLO,,Pro,Pro,Mixed,,Mixed,,N
PALOOKAVILLE,,Pro,,,,,,N
PERSUASION,,Con,,,,Pro,,P
PHENOMENON,Pro,Pro,Pro,Pro,Pro,Pro,Pro,N
POWDER,Con,Con,,,,,Con,P
PREFONTAINE,Pro,Pro,,,,,,P
PRIMAL_FEAR,Pro,Mixed,,Pro,,,,P
PRISONER_OF_THE_MOUNTAINS,Pro,,,,,,Pro,P
PRIVATE_PARTS,Pro,Pro,,,,Pro,Pro,N
RACE_THE_SUN,Con,,,,,,Con,P
RANSOM,Pro,Pro,Con,Mixed,Mixed,Pro,Pro,N
RECKLESS,,Mixed,Con,Pro,,,,P
RED_FIRECRACKER_GREEN_FIREC,Con,,,,,,,N
RESTORATION,Pro,Pro,Pro,Con,,Pro,Pro,P
RETURN_OF_THE_JEDI,Pro,Pro,Pro,,,Pro,Pro,N
RHYME_&_REASON,Pro,,,,,Pro,Pro,P
RICHARD_III,Pro,Pro,Pro,Pro,,Pro,,P
RIDICULE,Pro,Pro,Pro,,,,Pro,N
ROB_ROY,,Pro,Mixed,,Mixed,Pro,,N
ROMEO_AND_JULIET,Mixed,Mixed,,Con,,Mixed,Pro,N
ROSEWOOD,,Pro,,Pro,,Pro,,N
RUMBLE_IN_THE_BRONX,Pro,Con,,,,Pro,Pro,N
SABRINA,Pro,,Pro,Mixed,Pro,Mixed,Pro,P
SCREAM,,Con,,Con,,Mixed,,N
SCREAMERS,Mixed,Pro,Con,Con,,,,P
SECRETS_&_LIES,,Pro,,Pro,,,,N
SELENA,,Pro,Mixed,Mixed,,,Mixed,P
SENSE_AND_SENSIBILITY,Mixed,Pro,,Pro,Pro,Pro,Pro,N
SET_IT_OFF,,Con,,,,,Mixed,N
SEVEN,Pro,Pro,Con,Pro,,,Pro,N
SGT._BILKO,Pro,Pro,Pro,,,Mixed,Pro,P
SHANGHAI_TRIAD,Mixed,,,Con,,,,N
SHES_THE_ONE,Mixed,Pro,Pro,,,Pro,,P
SHINE,Pro,Pro,Pro,Pro,Pro,Pro,Pro,N
SHOWGIRLS,Con,Con,,,,,Con,P
SLEEPERS,Pro,Pro,,Pro,,,Mixed,N
SLING_BLADE,Pro,Pro,,,,Pro,Pro,N
SMILLAS_SENSE_OF_SNOW,Pro,Mixed,,,,Con,Pro,N
SOME_MOTHERS_SON,,Pro,,Pro,,,,N
SOMEONE_ELSES_AMERICA,,Pro,,,,,,P
SPACE_JAM,Pro,Pro,,,Pro,Pro,Pro,N
SPY_HARD,,,Pro,Con,,,,N
STAR_TREK:FIRST_CONTACT,,Con,Pro,,,,,N
STEAL_BIG_STEAL_LITTLE,Con,Con,,Con,,Con,Con,P
STEALING_BEAUTY,Mixed,Con,,Con,,,,N
STONEWALL,Mixed,,,,,,Pro,N
STRANGE_DAYS,Pro,Con,,Con,,Con,Mixed,N
STRIPTEASE,Mixed,Con,Con,Con,Con,,Con,P
STUART_SAVES_HIS_FAMILY,Pro,,Pro,,,,,P
SUBURBIA,,Con,Mixed,Con,,Pro,,N
SUDDEN_DEATH,Mixed,Pro,Pro,,,Con,Pro,P
SUNSET_PARK,Mixed,,,Con,,,Pro,P
SURVIVING_PICASSO,,,,Pro,,Mixed,,N
SWEET_NOTHING,Pro,,,Pro,,,,P
SWINGERS,,,Pro,,,,,N
THAT_DARN_CAT,Con,Con,,,,,Con,P
THAT_THING_YOU_DO!,,,Pro,Pro,Mixed,,,N
THE_ADDICTION,,Con,,,,,,N
THE_ADVENTURES_OF_PINOCCHIO,Mixed,Pro,,Con,,,,N
THE_AMERICAN_PRESIDENT,,,Mixed,Pro,Pro,Pro,,N
THE_ARRIVAL,Pro,Pro,Pro,,,,Pro,P
THE_ASSOCIATE,,Pro,Con,,Pro,Pro,,N
THE_BASKETBALL_DIARIES,Con,Pro,Mixed,Pro,,,Con,N
THE_BEAUTICIAN_AND_THE_BEAST,Mixed,Pro,Con,,,Mixed,Mixed,N
THE_BIG_SQUEEZE,Con,,,,,,,P
THE_BIRDCAGE,Pro,Pro,,Con,Pro,Pro,,N
THE_CABLE_GUY,Mixed,Con,Pro,Mixed,Mixed,Mixed,Pro,P
THE_CELLULOID_CLOSET,,,,,,Pro,,N
THE_CHAMBER,Mixed,Pro,,,,Mixed,Con,P
THE_CRAFT,,Con,Con,,,,,P
THE_CROSSING_GUARD,Mixed,Con,Con,Pro,,,Mixed,N
THE_CRUCIBLE,,Pro,,Pro,,Pro,,N
THE_CURE,Mixed,Pro,Pro,Pro,,,Mixed,N
THE_DAYTRIPPERS,,,Pro,,,Pro,,N
THE_DOOM_GENERATION,Con,,,,,,,N
THE_EIGHTH_DAY,,,,,,,,N
THE_EMPIRE_STRIKES_BACK,,,Pro,,,Pro,,N
THE_ENGLISH_PATIENT,,Pro,,Mixed,Pro,Pro,,N
THE_EVENING_STAR,,Pro,Mixed,Pro,,,,N
THE_FAN,,Con,,Con,Mixed,Pro,,P
THE_FIRST_WIVES_CLUB,Mixed,,,Pro,Pro,Pro,Mixed,N
THE_FLOWER_OF_MY_SECRET,Con,Pro,Mixed,Mixed,,,,N
THE_FRIGHTENERS,Con,Con,Pro,,,,Mixed,N
THE_FUNERAL,Pro,,,Con,,,,N
THE_GHOST_AND_THE_DARKNESS,Con,,Pro,Pro,,Pro,Pro,N
THE_GODFATHER,,Pro,,,,Pro,,N
THE_GRASS_HARP,,Pro,Con,Pro,,Pro,,P
THE_GREAT_WHITE_HYPE,,Mixed,,,,,,N
THE_ISLAND_OF_DR._MOREAU,,Mixed,,,,,,N
THE_JUROR,Mixed,Con,Mixed,Con,Con,Mixed,Con,P
THE_LAST_GOOD_TIME,Pro,,,,,,,N
THE_LAST_SUPPER,Pro,Mixed,,,,,Pro,N
THE_LINE_KING,,,,Pro,,,,N
THE_LONG_KISS_GOODNIGHT,Mixed,Mixed,,Con,,Pro,Pro,N
THE_MIRROR_HAS_TWO_FACES,,Con,Con,Con,Pro,Pro,Pro,P
THE_MONSTER,,Pro,,,,,,N
THE_NEON_BIBLE,,,,Con,,,,N
THE_NUTTY_PROFESSOR,Pro,Pro,Mixed,Con,Con,,,N
THE_PALLBEARER,,Pro,Con,,,,,N
THE_PEBBLE_AND_THE_PENGUIN,,,Con,,,,,P
THE_PEOPLE_VS_LARRY_FLYNT,,Pro,,Pro,Pro,Pro,,N
THE_PHANTOM,Pro,Mixed,Pro,,Pro,,Mixed,P
THE_POMPATUS_OF_LOVE,Mixed,Pro,,,,,,P
THE_PORTRAIT_OF_A_LADY,Pro,Con,Pro,,,,Pro,N
THE_PREACHERS_WIFE,Pro,Pro,Pro,,,Mixed,Pro,P
THE_QUEST,,,,,,,,P
THE_QUIET_ROOM,,,,,,,,N
THE_RELIC,Pro,,Con,,,,,P
THE_RICH_MANS_WIFE,Mixed,Con,Con,,,,,P
THE_ROCK,Pro,Mixed,,,Pro,,Mixed,N
THE_RUN_OF_THE_COUNTRY,Mixed,Pro,,Pro,,,Pro,P
THE_SCARLET_LETTER,Con,Con,Con,,,Con,,P
THE_SEARCH_FOR_1-EYED_JIMMY,,Con,,,,,,P
THE_SECRET_AGENT,,Con,,Pro,,Pro,,N
THE_SPITFIRE_GRILL,Mixed,Pro,Pro,,Pro,Pro,,P
THE_STAR_MAKER,Pro,Pro,,,,,Pro,P
THE_SUBSTANCE_OF_FIRE,Pro,,,Pro,,,,N
THE_SUBSTITUTE,Con,Mixed,,,,,Mixed,P
THE_TRUTH_ABOUT_CATS_&_DOGS,Pro,Pro,Pro,Pro,Mixed,Pro,,N
THE_UMBRELLAS_OF_CHARBOURG,Pro,Pro,,Pro,,Pro,Pro,N
THE_WAR_AT_HOME,,Pro,,Pro,,Con,,N
THE_WHOLE_WIDE_WORLD,Pro,,,,,,Mixed,P
THE_YOUNG_POISONERS_HANDBOOK,Pro,,,Pro,,,,N
THINGS_TO_DO_IN_DENVER...,Mixed,Con,,,,Con,,N
THREE_WISHES,Con,Pro,Pro,,Mixed,,,P
TIN_CUP,Pro,Con,Pro,Mixed,Mixed,Pro,Pro,N
TO_DIE_FOR,Pro,Pro,Pro,Pro,,Pro,Pro,P
TO_GILLIAN_ON_HER_37TH_BDAY,Mixed,Pro,Mixed,,,,Mixed,P
TO_WONG_FOO_THANKS_FOR...,Mixed,Con,Con,Con,,Con,Pro,N
TOTAL_ECLIPSE,Mixed,,,,,,,P
TOUCH,Mixed,Con,Con,Con,,Con,Mixed,P
TOY_STORY,Pro,Pro,,Pro,Pro,Pro,,N
TRAINSPOTTING,,Pro,Con,,,Pro,Pro,N
TREES_LOUNGE,,Con,,,,,,N
TROMEO_AND_JULIET,,Pro,Con,,,,,P
TURBULENCE,Con,,Mixed,,,,,P
TWELFTH_NIGHT,Pro,,,,,Pro,,N
TWISTER,Mixed,Con,Mixed,Con,,Mixed,,N
TWO_BITS,Con,Mixed,,,,,,P
TWO_MUCH,Con,Con,,Con,,Con,,P
UNDER_THE_DOMIN_TREE,,Mixed,Pro,,,,,P
UNFORGETTABLE,Con,Con,Pro,Con,,Con,Pro,P
UNHOOK_THE_STARS,,,,Pro,,,,N
UNSTRUNG_HEROES,Pro,,Mixed,Pro,,Pro,Con,N
UP_CLOSE_&_PERSONAL,Pro,Pro,Con,Con,Pro,Pro,Con,N
VAMPIRE_IN_BROOKLYN,Con,Pro,,,,,Con,P
WAITING_TO_EXHALE,Pro,Pro,,Con,,Con,Mixed,N
WALKING_&_TALKING,Pro,Pro,,,,Pro,,N
WELCOME_TO_THE_DOLLHOUSE,,,,,,,,N
WHEN_WE_WERE_KINGS,Pro,,,,,,Pro,P
WHITE_MANS_BURDEN,Con,Pro,,Mixed,Con,Pro,Con,N
WHITE_SQUALL,Pro,Pro,Mixed,Pro,,Con,,N
WILD_BILL,Con,Pro,Con,Pro,,Con,Pro,N
